,folder,pic1,pic2,det,desc,matches,inliers,score,det time,desc time,hmg time,saved as
0,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", Harris, SIFT,133.0,94.0,99.7133250514,0.013676,0.965607,0.00492, out/ASTERIX/img0_img1_det_Harris_desc_SIFT.png
1,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", Harris, SURF,133.0,94.0,99.9777581613,0.014622,0.082334,0.004817, out/ASTERIX/img0_img1_det_Harris_desc_SURF.png
2,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", Harris, ORB,132.0,6.0,89.0894757712,0.014393,0.005947,0.097277, out/ASTERIX/img0_img1_det_Harris_desc_ORB.png
3,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", GFTT, BRIEF,186.0,16.0,99.9829107066,0.014995,0.005023,0.101072, out/ASTERIX/img0_img1_det_GFTT_desc_BRIEF.png
4,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", GFTT, SIFT,187.0,141.0,99.9868447619,0.014632,1.35042,0.00838, out/ASTERIX/img0_img1_det_GFTT_desc_SIFT.png
5,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", GFTT, SURF,187.0,118.0,99.9902922488,0.016029,0.143608,0.01217, out/ASTERIX/img0_img1_det_GFTT_desc_SURF.png
6,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", GFTT, ORB,186.0,7.0,4.35049081361,0.018074,0.007289,0.116931, out/ASTERIX/img0_img1_det_GFTT_desc_ORB.png
7,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", SIFT, BRIEF,602.0,11.0,12.87074202,0.286423,0.014267,0.144913, out/ASTERIX/img0_img1_det_SIFT_desc_BRIEF.png
8,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", SIFT, SIFT,603.0,447.0,99.9823411229,0.274875,0.370631,0.079255, out/ASTERIX/img0_img1_det_SIFT_desc_SIFT.png
9,out/ASTERIX/," ""data/ASTERIX/img0.pgm"""," ""data/ASTERIX/img1.pgm""", SIFT, SURF,603.0,299.0,99.9818292806,0.264395,0.116057,0.082171, out/ASTERIX/img0_img1_det_SIFT_desc_SURF.png
