,folder,pic1,pic2,det,desc,matches,inliers,score,det time,desc time,hmg time,saved as
2248,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", Harris, SIFT,565.0,300.0,99.8924412819,0.04616,3.7785,0.054192, out/light/img1_img2_det_Harris_desc_SIFT.png
2249,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", Harris, SURF,565.0,249.0,99.8987877274,0.048456,0.345736,0.06202, out/light/img1_img2_det_Harris_desc_SURF.png
2250,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", Harris, ORB,450.0,9.0,0.808730224413,0.048178,0.017357,0.131956, out/light/img1_img2_det_Harris_desc_ORB.png
2251,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", GFTT, BRIEF,1251.0,7.0,2.66895461416,0.051726,0.034356,0.221528, out/light/img1_img2_det_GFTT_desc_BRIEF.png
2252,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", GFTT, SIFT,1514.0,827.0,99.8920618576,0.053544,10.7546,0.388007, out/light/img1_img2_det_GFTT_desc_SIFT.png
2253,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", GFTT, SURF,1514.0,703.0,99.9040665659,0.052252,0.922388,0.366794, out/light/img1_img2_det_GFTT_desc_SURF.png
2254,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", GFTT, ORB,1216.0,9.0,18.7407678867,0.053932,0.031639,0.210874, out/light/img1_img2_det_GFTT_desc_ORB.png
2255,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", SIFT, BRIEF,2039.0,12.0,9.02718703354,0.898967,0.059342,0.407678, out/light/img1_img2_det_SIFT_desc_BRIEF.png
2256,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", SIFT, SIFT,2408.0,1158.0,99.9054085574,0.852774,1.15772,1.05768, out/light/img1_img2_det_SIFT_desc_SIFT.png
2257,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", SIFT, SURF,2408.0,552.0,99.8996223338,0.861838,0.439183,1.11384, out/light/img1_img2_det_SIFT_desc_SURF.png
2258,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", SIFT, ORB,1999.0,14.0,6.70920209912,0.867181,0.081765,0.381501, out/light/img1_img2_det_SIFT_desc_ORB.png
2259,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", SURF, BRIEF,4714.0,11.0,3.34301057224,1.24358,0.124869,1.52424, out/light/img1_img2_det_SURF_desc_BRIEF.png
2260,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", SURF, SIFT,5030.0,2867.0,99.9002614985,1.22291,15.9864,4.57269, out/light/img1_img2_det_SURF_desc_SIFT.png
2261,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", SURF, SURF,5030.0,2412.0,99.9099049933,1.27289,3.98784,4.54513, out/light/img1_img2_det_SURF_desc_SURF.png
2262,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", SURF, ORB,4651.0,10.0,5.61654438556,1.21099,0.120523,1.52013, out/light/img1_img2_det_SURF_desc_ORB.png
2263,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", FAST, BRIEF,1095.0,13.0,7.75328686043,0.004274,0.025969,0.182858, out/light/img1_img2_det_FAST_desc_BRIEF.png
2264,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", FAST, SIFT,1398.0,662.0,99.878655962,0.00408,0.649592,0.252265, out/light/img1_img2_det_FAST_desc_SIFT.png
2265,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", FAST, SURF,1398.0,204.0,99.8900367761,0.004103,0.246655,0.372496, out/light/img1_img2_det_FAST_desc_SURF.png
2266,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", FAST, ORB,1078.0,13.0,54.9166692488,0.003971,0.027527,0.177427, out/light/img1_img2_det_FAST_desc_ORB.png
2267,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", MSER, BRIEF,757.0,45.0,0.783250528431,1.25942,0.019781,0.158547, out/light/img1_img2_det_MSER_desc_BRIEF.png
2268,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", MSER, SIFT,994.0,658.0,99.9451428698,1.2111,12.3375,0.160563, out/light/img1_img2_det_MSER_desc_SIFT.png
2269,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", MSER, SURF,994.0,581.0,99.9531947042,1.22951,1.19934,0.158766, out/light/img1_img2_det_MSER_desc_SURF.png
2270,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", MSER, ORB,739.0,39.0,0.995001193891,1.18437,0.034214,0.154139, out/light/img1_img2_det_MSER_desc_ORB.png
2271,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", ORB, BRIEF,8473.0,5694.0,99.9182784379,0.084355,0.201796,4.80371, out/light/img1_img2_det_ORB_desc_BRIEF.png
2272,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", ORB, SIFT,8473.0,3368.0,99.7914530212,0.085481,25.9967,13.8572, out/light/img1_img2_det_ORB_desc_SIFT.png
2273,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", ORB, SURF,8473.0,4824.0,99.9149782067,0.093496,14.4772,13.5923, out/light/img1_img2_det_ORB_desc_SURF.png
2274,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img2.png""", ORB, ORB,8473.0,15.0,7.39855196986,0.085822,0.20335,5.00187, out/light/img1_img2_det_ORB_desc_ORB.png
2275,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", Harris, BRIEF,458.0,9.0,3.21800580818,0.058678,0.014384,0.130824, out/light/img1_img3_det_Harris_desc_BRIEF.png
2276,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", Harris, SIFT,565.0,239.0,99.8493779528,0.049366,3.55132,0.05237, out/light/img1_img3_det_Harris_desc_SIFT.png
2277,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", Harris, SURF,565.0,196.0,99.8503023195,0.052401,0.314284,0.063253, out/light/img1_img3_det_Harris_desc_SURF.png
2278,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", Harris, ORB,450.0,11.0,8.08452661638,0.053232,0.016764,0.127483, out/light/img1_img3_det_Harris_desc_ORB.png
2279,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", GFTT, BRIEF,1251.0,8.0,12.903603341,0.058141,0.034285,0.222326, out/light/img1_img3_det_GFTT_desc_BRIEF.png
2280,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", GFTT, SIFT,1514.0,666.0,99.8480098646,0.063051,11.0714,0.364179, out/light/img1_img3_det_GFTT_desc_SIFT.png
2281,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", GFTT, SURF,1514.0,583.0,99.8514361331,0.059555,0.895189,0.363648, out/light/img1_img3_det_GFTT_desc_SURF.png
2282,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", GFTT, ORB,1216.0,7.0,15.5623803527,0.053456,0.031842,0.214166, out/light/img1_img3_det_GFTT_desc_ORB.png
2283,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", SIFT, BRIEF,2039.0,11.0,1.74922648193,0.890776,0.054819,0.392534, out/light/img1_img3_det_SIFT_desc_BRIEF.png
2284,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", SIFT, SIFT,2408.0,986.0,99.852568037,0.8849,1.17933,1.00225, out/light/img1_img3_det_SIFT_desc_SIFT.png
2285,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", SIFT, SURF,2408.0,413.0,99.8523974238,0.877663,0.463014,1.16296, out/light/img1_img3_det_SIFT_desc_SURF.png
2286,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", SIFT, ORB,1999.0,9.0,0.940613635007,0.871303,0.079866,0.375241, out/light/img1_img3_det_SIFT_desc_ORB.png
2287,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", SURF, BRIEF,4714.0,11.0,4.19690783732,1.20904,0.124552,1.4336, out/light/img1_img3_det_SURF_desc_BRIEF.png
2288,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", SURF, SIFT,5030.0,2368.0,99.8845383083,1.25808,15.7328,4.08643, out/light/img1_img3_det_SURF_desc_SIFT.png
2289,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", SURF, SURF,5030.0,1955.0,99.8729996168,1.24717,3.94013,4.14044, out/light/img1_img3_det_SURF_desc_SURF.png
2290,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", SURF, ORB,4651.0,11.0,1.08625789458,1.20395,0.117317,1.36632, out/light/img1_img3_det_SURF_desc_ORB.png
2291,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", FAST, BRIEF,1095.0,14.0,4.21533325274,0.004046,0.023164,0.170018, out/light/img1_img3_det_FAST_desc_BRIEF.png
2292,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", FAST, SIFT,1398.0,540.0,99.8532759544,0.00387,0.593049,0.20706, out/light/img1_img3_det_FAST_desc_SIFT.png
2293,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", FAST, SURF,1398.0,227.0,99.8666359922,0.003935,0.242755,0.317013, out/light/img1_img3_det_FAST_desc_SURF.png
2294,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", FAST, ORB,1078.0,12.0,6.73072838535,0.004013,0.02585,0.169175, out/light/img1_img3_det_FAST_desc_ORB.png
2295,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", MSER, BRIEF,757.0,58.0,0.922225305963,1.19398,0.018664,0.153804, out/light/img1_img3_det_MSER_desc_BRIEF.png
2296,out/light/," ""data/graffiti/light/img1.png"""," ""data/graffiti/light/img3.png""", MSER, SIFT,994.0,521.0,99.9786405798,1.14874,11.715,0.139706, out/light/img1_img3_det_MSER_desc_SIFT.png
