,folder,pic1,pic2,det,desc,matches,inliers,score,det time,desc time,hmg time,saved as
959,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", Harris, SIFT,1028.0,275.0,99.5872304365,0.048924,9.04732,0.272451, out/boat/img1_img2_det_Harris_desc_SIFT.png
960,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", Harris, SURF,1028.0,284.0,98.7091056901,0.052419,0.693962,0.267652, out/boat/img1_img2_det_Harris_desc_SURF.png
961,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", Harris, ORB,951.0,10.0,2.60825740505,0.054152,0.030042,0.189303, out/boat/img1_img2_det_Harris_desc_ORB.png
962,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", GFTT, BRIEF,1945.0,9.0,0.853004191471,0.060492,0.061349,0.434279, out/boat/img1_img2_det_GFTT_desc_BRIEF.png
963,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", GFTT, SIFT,2209.0,416.0,98.3409498463,0.064117,20.3355,1.25052, out/boat/img1_img2_det_GFTT_desc_SIFT.png
964,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", GFTT, SURF,2209.0,498.0,99.6216575039,0.063808,1.53244,1.22201, out/boat/img1_img2_det_GFTT_desc_SURF.png
965,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", GFTT, ORB,1926.0,12.0,1.63571937528,0.061191,0.048588,0.42258, out/boat/img1_img2_det_GFTT_desc_ORB.png
966,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", SIFT, BRIEF,8023.0,11.0,3.38394952143,1.29074,0.241726,5.02365, out/boat/img1_img2_det_SIFT_desc_BRIEF.png
967,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", SIFT, SIFT,8870.0,2854.0,99.6666110025,1.27133,2.73469,17.0355, out/boat/img1_img2_det_SIFT_desc_SIFT.png
968,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", SIFT, SURF,8870.0,13.0,1.89713331147,1.22888,1.72166,17.0869, out/boat/img1_img2_det_SIFT_desc_SURF.png
969,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", SIFT, ORB,7930.0,10.0,1.90172802156,1.22605,0.203661,5.04834, out/boat/img1_img2_det_SIFT_desc_ORB.png
970,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", SURF, BRIEF,6498.0,9.0,5.06715912512,1.81686,0.210382,3.73095, out/boat/img1_img2_det_SURF_desc_BRIEF.png
971,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", SURF, SIFT,6818.0,1870.0,98.8481176772,1.71563,26.2627,11.2051, out/boat/img1_img2_det_SURF_desc_SIFT.png
972,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", SURF, SURF,6818.0,1556.0,99.4883457002,1.83308,6.72512,11.4859, out/boat/img1_img2_det_SURF_desc_SURF.png
973,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", SURF, ORB,6425.0,12.0,1.864816645,1.74385,0.182824,3.67954, out/boat/img1_img2_det_SURF_desc_ORB.png
974,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", FAST, BRIEF,3709.0,8.0,3.91621164276,0.01076,0.112373,1.38646, out/boat/img1_img2_det_FAST_desc_BRIEF.png
975,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", FAST, SIFT,3947.0,2228.0,97.9559182247,0.011516,2.28405,4.04457, out/boat/img1_img2_det_FAST_desc_SIFT.png
976,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", FAST, SURF,3947.0,506.0,99.4465271657,0.011419,0.96608,4.23823, out/boat/img1_img2_det_FAST_desc_SURF.png
977,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", FAST, ORB,3678.0,11.0,1.72788154812,0.011628,0.094851,1.4001, out/boat/img1_img2_det_FAST_desc_ORB.png
978,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", MSER, BRIEF,1165.0,25.0,1.0772155977,0.76214,0.028806,0.22521, out/boat/img1_img2_det_MSER_desc_BRIEF.png
979,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", MSER, SIFT,1251.0,694.0,99.2079394521,0.735499,9.40028,0.299161, out/boat/img1_img2_det_MSER_desc_SIFT.png
980,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", MSER, SURF,1251.0,389.0,98.9502200299,0.767587,0.8742,0.333609, out/boat/img1_img2_det_MSER_desc_SURF.png
981,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", MSER, ORB,1160.0,18.0,1.78271760323,0.764287,0.034721,0.231529, out/boat/img1_img2_det_MSER_desc_ORB.png
982,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", ORB, BRIEF,10000.0,5078.0,97.6020839805,0.156239,0.291194,8.07618, out/boat/img1_img2_det_ORB_desc_BRIEF.png
983,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", ORB, SIFT,10000.0,2446.0,96.8644671528,0.160334,29.4015,22.9633, out/boat/img1_img2_det_ORB_desc_SIFT.png
984,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", ORB, SURF,10000.0,3997.0,91.2489855372,0.157628,23.7498,23.0591, out/boat/img1_img2_det_ORB_desc_SURF.png
985,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img2.png""", ORB, ORB,10000.0,15.0,1.46895446818,0.155916,0.258441,8.14298, out/boat/img1_img2_det_ORB_desc_ORB.png
986,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", Harris, BRIEF,956.0,11.0,1.86020266429,0.063924,0.031558,0.191182, out/boat/img1_img3_det_Harris_desc_BRIEF.png
987,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", Harris, SIFT,1028.0,186.0,0.733340491262,0.058483,8.48599,0.35436, out/boat/img1_img3_det_Harris_desc_SIFT.png
988,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", Harris, SURF,1028.0,155.0,96.7995401995,0.065302,0.717073,0.332876, out/boat/img1_img3_det_Harris_desc_SURF.png
989,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", Harris, ORB,951.0,16.0,2.19636899228,0.058047,0.029049,0.189801, out/boat/img1_img3_det_Harris_desc_ORB.png
990,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", GFTT, BRIEF,1945.0,10.0,1.53993975819,0.067977,0.058548,0.414045, out/boat/img1_img3_det_GFTT_desc_BRIEF.png
991,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", GFTT, SIFT,2209.0,245.0,0.741927605982,0.070992,17.5003,1.09451, out/boat/img1_img3_det_GFTT_desc_SIFT.png
992,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", GFTT, SURF,2209.0,125.0,83.7503862191,0.071528,1.4937,1.10909, out/boat/img1_img3_det_GFTT_desc_SURF.png
993,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", GFTT, ORB,1926.0,17.0,2.873358448,0.070342,0.051982,0.419774, out/boat/img1_img3_det_GFTT_desc_ORB.png
994,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", SIFT, BRIEF,8023.0,12.0,1.64650901752,1.24911,0.212903,4.1346, out/boat/img1_img3_det_SIFT_desc_BRIEF.png
995,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", SIFT, SIFT,8870.0,2144.0,98.4951011475,1.28849,2.56535,13.6619, out/boat/img1_img3_det_SIFT_desc_SIFT.png
996,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", SIFT, SURF,8870.0,256.0,97.860019615,1.2337,1.58988,13.7663, out/boat/img1_img3_det_SIFT_desc_SURF.png
997,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", SIFT, ORB,7930.0,13.0,1.55382883168,1.19976,0.205301,4.06947, out/boat/img1_img3_det_SIFT_desc_ORB.png
998,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", SURF, BRIEF,6498.0,11.0,5.28881136767,1.65071,0.195574,2.98303, out/boat/img1_img3_det_SURF_desc_BRIEF.png
999,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", SURF, SIFT,6818.0,1329.0,99.4345061664,1.67675,22.5468,8.94505, out/boat/img1_img3_det_SURF_desc_SIFT.png
1000,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", SURF, SURF,6818.0,828.0,91.1852784315,1.62105,5.37596,9.38064, out/boat/img1_img3_det_SURF_desc_SURF.png
1001,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", SURF, ORB,6425.0,10.0,2.66259563665,1.7104,0.172374,2.93237, out/boat/img1_img3_det_SURF_desc_ORB.png
1002,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", FAST, BRIEF,3709.0,16.0,1.70177733949,0.011082,0.110085,1.17406, out/boat/img1_img3_det_FAST_desc_BRIEF.png
1003,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", FAST, SIFT,3947.0,50.0,1.0190475852,0.010586,2.02978,3.39436, out/boat/img1_img3_det_FAST_desc_SIFT.png
1004,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", FAST, SURF,3947.0,11.0,0.631108275418,0.009999,0.869569,3.33137, out/boat/img1_img3_det_FAST_desc_SURF.png
1005,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", FAST, ORB,3678.0,16.0,2.6396565593,0.011513,0.094308,1.15695, out/boat/img1_img3_det_FAST_desc_ORB.png
1006,out/boat/," ""data/graffiti/boat/img1.png"""," ""data/graffiti/boat/img3.png""", MSER, BRIEF,1165.0,41.0,1.70132720506,0.793208,0.029143,0.223477, out/boat/img1_img3_det_MSER_desc_BRIEF.png
